(551815, 0.8545516774457051)
(523811, 0.7561645288874898)
(134689, 0.7567777534313915)
(546717, 0.7997440894822143)
(457884, 0.8577934164218903)
(329456, 0.9336616796787532)
(164883, 0.8070686407635144)
(15497, 0.8960970075894625)
(419312, 0.794479478851662)
(157847, 0.7767710537437331)
(237864, 0.836718939690211)
(387148, 0.8861615627021813)
(291791, 0.9026243623755166)
(498857, 0.9201019617413344)
(419653, 0.8345270995444017)
(453166, 0.8640430070117133)
(269632, 0.8666498964402424)
(324715, 0.8714364495901721)
(495146, 0.8979107693652901)
(287959, 0.937047339346894)
(559956, 0.897333696355355)
(371699, 0.836283065691596)
(529122, 0.8314273473542139)
(124659, 0.8264948060623288)
(491213, 0.8873696887192513)
(85478, 0.9226488106742762)
(2149, 0.8781585427775108)
(493864, 0.7687525403674728)
(549674, 0.8400776213681385)
(377368, 0.7396798152965198)
(389197, 0.7939124552928295)
(577149, 0.9098424649857693)
(493286, 0.8856433946137116)
(515445, 0.8743678242091495)
(433774, 0.5030627195138514)
(19221, 0.9173105073899191)
(147729, 0.8611069140721027)
(177383, 0.9313450203007759)
(491497, 0.8751709901710996)
(359135, 0.9143740364480939)
(561223, 0.7810311843597855)
(455981, 0.7601325399855857)
(477227, 0.7214149458052886)
(181542, 0.839304829079764)
(78748, 0.7700555821832192)
(334555, 0.8719938958701686)
(362682, 0.8518864381525529)
(335529, 0.8495210805642253)
(494188, 0.7953503657934531)
(158956, 0.7319966187488557)
(284764, 0.8685836938360216)
(433915, 0.7998936453519209)
(153782, 0.8738568753624687)
(7816, 0.893666314346048)
(547519, 0.9416522397013474)
(578922, 0.8835876384790219)
(319935, 0.7521516837653888)
(163258, 0.9004852125099994)
(167898, 0.8914250250634027)
(14439, 0.08884131299951656)
(341921, 0.8376341156102566)
(18575, 0.7305126687056277)
(426836, 0.6756334196758436)
(396863, 0.8592206187541065)
(198489, 0.8820816363412676)
(546659, 0.8471279338983553)
(157756, 0.8282151986598435)
(184791, 0.8716240524850429)
(455597, 0.561628613555866)
(448256, 0.8511589299909457)
(529568, 0.778929453642276)
(48396, 0.8780269084414861)
(84492, 0.8641401675389554)
(291619, 0.8167892044269479)
(364884, 0.7051475773461698)
(25139, 0.9258998129495416)
(521141, 0.9074521664539692)
(34873, 0.819972970953057)
(544519, 0.9236194468498486)
(521956, 0.8298349810472796)
(365521, 0.8632112290172244)
(359781, 0.9073401577955762)
(572388, 0.80590355624639)
(221155, 0.915457808739231)
(263644, 0.6969997342949563)
(146489, 0.8940442851639727)
(172648, 0.8499332544901446)
(119365, 0.8121918809997313)
(122217, 0.8526051001652708)
(554156, 0.8719442269192591)
(331352, 0.9639200560456994)
(451879, 0.8593784438879984)
(166664, 0.9162894464261507)
(338325, 0.9250014770199366)
(525155, 0.7927418052233961)
(463842, 0.8362312823974452)
(137576, 0.8591405218250902)
(475779, 0.9076406645397223)
(252216, 0.9203527680132694)
(477441, 0.731485890583041)
(546556, 0.8312919876808603)
(515577, 0.8991938854708972)
(414261, 0.7216710865104831)
(329319, 0.8064673928244569)
(466125, 0.8798579138552838)
(218249, 0.7954747165682192)
(489764, 0.7550062151360977)
(27768, 0.8952411965549749)
(342186, 0.8495000839270666)
(177539, 0.8517485574610324)
(575372, 0.8798981686938316)
(512985, 0.9167757346225982)
(139872, 0.805153156569007)
(529966, 0.8829624172641969)
(88269, 0.888280236699389)
(297396, 0.8754485827974072)
(512929, 0.8204585293912137)
(465836, 0.9131928460737501)
(56127, 0.7343238961329179)
(512564, 0.8721304476887298)
(46872, 0.773674024615496)
(542127, 0.7933810190755624)
(182441, 0.9362536972397694)
(159977, 0.6888923136647082)
(437392, 0.8782848805572147)
(16249, 0.8584039269248721)
(415882, 0.44169759819557497)
(253835, 0.696578395573036)
(163611, 0.6954098961837085)
(354829, 0.780378326158478)
(138979, 0.904839963852381)
(197796, 0.7968317124019488)
(436315, 0.9825129408825958)
(414795, 0.8847493758532412)
(259382, 0.904790942602688)
(421923, 0.815769149574372)
(248314, 0.7859013024752218)
(537241, 0.8562990167563398)
(235241, 0.8957209097714861)
(417779, 0.8143848472791619)
(273712, 0.8294671791975944)
(193162, 0.8163160291171858)
(338532, 0.9235216385789821)
(528399, 0.8608016929240481)
(133645, 0.8539619542615137)
(124442, 0.9290549202303725)
(245764, 0.8975208763797629)
(2532, 0.7279979561259484)
(428454, 0.8105085957462776)
(161642, 0.8032610803165646)
(22969, 0.9352151319304289)
(116479, 0.692231235891314)
(52891, 0.8467318474725258)
(464358, 0.7885346771959693)
(121497, 0.7326903096358679)
